Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes,Sentiment,Text
Diploma Trainee Engineer,Chakan Pune,Full Time,,3 Dec 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,if you are a girl you can copulate and have affair with  managers and seniors to get easy promotions not good for hard working sincere boys,no promotions or growth,-1,if you are a girl you can copulate and have affair with  managers and seniors to get easy promotions not good for hard working sincere boys no promotions or growth
Research Associate Ii,"Bengaluru/Bangalore, Karnataka",Full Time,,0 Dec 2022,4.0,5.0,3.0,4.0,5.0,4.0,4.0,good work life balance,time to market,1,good work life balance time to market
Long Arm Sales Person,Ghy,Full Time,Retail & B2C Sales Department,8 Oct 2022,3.0,4.0,3.0,2.0,3.0,4.0,3.0,"never give salary on time no one respond from agency end regarding salary
regarding reimbursement claim its worst",salary never on time,0,"never give salary on time no one respond from agency end regarding salary
regarding reimbursement claim its worst salary never on time"
Team Manager,Chennai,Full Time,Finance Department,2 May 2023,4.0,4.0,4.0,4.0,5.0,4.0,4.0,great culture,none to mention,1,great culture none to mention
Software Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,0 Jan 2023,3.0,4.0,3.0,3.0,4.0,3.0,3.0,great place to do coasting,boring tech stack and nonexistent outings and employee engagement,0,great place to do coasting boring tech stack and nonexistent outings and employee engagement
Customer Service Executive,"Noida, Uttar Pradesh",Full Time,Imaging & Diagnostics Department,9 Oct 2022,3.0,3.0,3.0,3.0,3.0,3.0,3.0,nice  working way of the philips,off roll so un like,0,nice  working way of the philips off roll so un like
Field Service Engineer,"Chennai, Tamil Nadu",,"Operations, Maintenance & Support Department",1 Sep 2022,4.0,4.0,4.0,4.0,5.0,3.0,4.0,its good for employe career growth,till date all going good here,1,its good for employe career growth till date all going good here
Lead Developer,Bengaluru/Bangalore,Full Time,Software Development Department,3 Mar 2023,4.0,5.0,3.0,4.0,4.0,5.0,3.0,work life,no as such,1,work life no as such
Test Designer,Pune,Full Time,Engineering & Manufacturing Department,4 Nov 2022,4.0,5.0,5.0,5.0,4.0,5.0,5.0,work culture,noting as of now,1,work culture noting as of now
Head Of Product Industrialization,"Pune, Maharashtra",Full Time,Construction / Manufacturing Department,0 Jan 2023,5.0,5.0,4.0,4.0,4.0,4.0,4.0,best place to work,process simplification,1,best place to work process simplification
Philips MNC Company,HP Chowk Malungi Chakan,Full Time,Electrical diploma  Department,4 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,this company is very beautiful and in this companys employees are to honest and supportive ,nothing,1,this company is very beautiful and in this companys employees are to honest and supportive  nothing
Regional Trainer,Kolkata,Full Time,Retail Department,7 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,very good work culture,till now nothing,1,very good work culture till now nothing
Marketing Officer,Jammu,Full Time,Enterprise & B2B Sales Department,6 Mar 2023,2.0,3.0,3.0,1.0,5.0,4.0,3.0,salary time to time,salary issue and no holiday  in national holidays,-1,salary time to time salary issue and no holiday  in national holidays
Pmo Analyst,"Bengaluru/Bangalore, Karnataka",Full Time,,2 Oct 2022,4.0,4.0,5.0,3.0,4.0,5.0,3.0,great working culture open for opportunities supportive management work life balance,work culture,1,great working culture open for opportunities supportive management work life balance work culture
Deputy General Manager,"Mumbai, Maharashtra",Full Time,Retail & B2C Sales Department,7 Oct 2022,4.0,5.0,4.0,5.0,5.0,5.0,4.0,process slowing speed at times,philips culture and it is my first company who teaches me lot about professional work and help me to grow in my career,1,process slowing speed at times philips culture and it is my first company who teaches me lot about professional work and help me to grow in my career
Production Engineer,"Chakan, Pune",Full Time,Production & Manufacturing Department,2 May 2023,4.0,4.0,4.0,4.0,3.0,5.0,4.0,work life balance most importantly,regulating to resume wfo which should be optional for employees across all locations,1,work life balance most importantly regulating to resume wfo which should be optional for employees across all locations
Process Lead IT,"Bengaluru/Bangalore, Karnataka",,DevOps Department,0 Nov 2022,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,1, 
Director,Netherlands,Full Time,,5 Dec 2022,3.0,4.0,2.0,3.0,4.0,2.0,3.0,easy come easy go,no real innovation,0,easy come easy go no real innovation
Sales Consultant,"New Delhi, Delhi",Full Time,Marketing Department,8 Feb 2023,4.0,4.0,5.0,4.0,3.0,4.0,3.0,development and learning,not bed,1,development and learning not bed
Assistant Manager,"Chennai, Tamil Nadu",Full Time,Business Intelligence & Analytics Department,9 Apr 2023,4.0,5.0,5.0,5.0,3.0,4.0,5.0,benefits and working environment,senior management decisions,1,benefits and working environment senior management decisions
Dy.mgr,Chennai,Full Time,SCM & Logistics Department,3 Jun 2023,4.0,4.0,4.0,4.0,3.0,4.0,3.0,company is good but you should get good mgr,nothing,1,company is good but you should get good mgr nothing
Las,"Agra, Uttar Pradesh",Full Time,Enterprise & B2B Sales Department,1 Feb 2023,4.0,3.0,2.0,3.0,2.0,1.0,3.0,nothing good but senior support as well,system,1,nothing good but senior support as well system
Reliability Architect,Pune,Full Time,Engineering Department,8 Feb 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,too early to judge,too early to judge,0,too early to judge too early to judge
Software Engineer Ii,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,2 Feb 2023,4.0,5.0,4.0,3.0,3.0,4.0,3.0,work life balance open culture,less opprtunity to growth,1,work life balance open culture less opprtunity to growth
Financial Planning Analyst,"Chennai, Tamil Nadu",Full Time,Finance Department,0 Feb 2023,4.0,4.0,5.0,3.0,5.0,5.0,4.0,"helped improve at career front 
work life balance
friendly managers",less salary,1,"helped improve at career front 
work life balance
friendly managers less salary"
Software Technologist 2,Bengaluru/Bangalore,Full Time,Software Development Department,1 Jan 2023,5.0,5.0,5.0,5.0,4.0,5.0,5.0,good work life balance,no job security,1,good work life balance no job security
Engineer  (Troubleshooter),"Chakan, Pune",Full Time,MR coil Manufacturing  Department,1 Jan 2023,4.0,2.0,3.0,3.0,4.0,2.0,2.0,learning on various technologies,poor planning,1,learning on various technologies poor planning
Software Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,1 Jan 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,work life balance,pay could be better,1,work life balance pay could be better
Planning Engineer,Chennai,Full Time,SCM & Logistics Department,6 Apr 2023,4.0,4.0,3.0,5.0,3.0,5.0,3.0,perks  culture,job insecurity,1,perks  culture job insecurity
Architect,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,5 Jul 2022,5.0,5.0,3.0,4.0,5.0,5.0,4.0,"work life balance
career oppurtunities","benefits can be improved
can experiment with more radical options to solve problems",1,"work life balance
career oppurtunities benefits can be improved
can experiment with more radical options to solve problems"
Software Engineer2,Bengaluru/Bangalore,Full Time,Technology / IT Department,6 Apr 2023,4.0,5.0,3.0,4.0,5.0,4.0,4.0,good company,nothing as such,1,good company nothing as such
Manager,Pune,Full Time,Supply Chain Management Department,9 Sep 2022,4.0,5.0,4.0,4.0,4.0,5.0,4.0,work life balance and quality of work and product,nothing specific but some times slow in material driving,1,work life balance and quality of work and product nothing specific but some times slow in material driving
General Manager Procurement,"Pune, Maharashtra",Full Time,,0 Jan 2023,5.0,5.0,3.0,4.0,4.0,4.0,4.0,work life balance,nothing,1,work life balance nothing
Area Sales Manager,"Mumbai, Maharashtra",Full Time,,5 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,excellent work,no comments,1,excellent work no comments
Management Staff,Bengaluru/Bangalore,Full Time,"Investment Banking, Private Equity & VC Department",1 Apr 2023,3.0,4.0,3.0,3.0,3.0,4.0,3.0,worklife balance,fewer hikes for existing employees,0,worklife balance fewer hikes for existing employees
Coe Lead,Chennai,Full Time,Finance Department,1 Mar 2023,4.0,4.0,5.0,4.0,4.0,4.0,4.0,opportunity,too many priorities,1,opportunity too many priorities
Data Scientist Manager,"Bengaluru/Bangalore, Karnataka",,,8 Aug 2022,4.0,5.0,3.0,5.0,5.0,5.0,3.0,work life balance,adoption of new technology,1,work life balance adoption of new technology
Legal & Secretarial Consultant,"Gurgaon/Gurugram, Haryana",Full Time,Legal Operations Department,6 Sep 2022,5.0,2.0,5.0,5.0,2.0,5.0,5.0,culture is good,the environment can be toxic sometimes,1,culture is good the environment can be toxic sometimes
Manager Fp&a,Chennai,Full Time,Finance Department,8 Jan 2023,4.0,4.0,3.0,4.0,4.0,4.0,4.0,good place to work,nothing specific,1,good place to work nothing specific
Sr.Manager(Indirect Procurement),Pune,Full Time,Management Department,3 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,great place to work,all good,1,great place to work all good
Senior Software Developer 2,"Bengaluru/Bangalore, Karnataka",Full Time,,4 Oct 2022,5.0,5.0,2.0,3.0,5.0,3.0,3.0,"wlb
job security","salary 
tech stack
slow decision",1,"wlb
job security salary 
tech stack
slow decision"
Xxxx,Bengaluru/Bangalore,Full Time,Engineering - Hardware & Networks Department,3 May 2023,3.0,3.0,2.0,3.0,2.0,3.0,2.0,not applicable,too many changes,0,not applicable too many changes
Training Engineer,Savardari Chakan,Full Time,,2 Oct 2022,4.0,3.0,4.0,4.0,3.0,5.0,3.0,work culture and behaviors,not transperant feedback is available,1,work culture and behaviors not transperant feedback is available
Activation Manager,Gurgaon,Full Time,Marketing Department,5 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work environment and culture boss are very supportive and ready to help in every manner,tere is lots of politics and the management dies not address our issues salary didnt increase and career path is very slow company hired new one from out side but didnt give internal promotion,1,good work environment and culture boss are very supportive and ready to help in every manner tere is lots of politics and the management dies not address our issues salary didnt increase and career path is very slow company hired new one from out side but didnt give internal promotion
Account Manager,Bengaluru/Bangalore,Full Time,Enterprise & B2B Sales Department,7 Jan 2023,4.0,2.0,4.0,4.0,2.0,3.0,2.0,good company with average work life balance,work life balance,1,good company with average work life balance work life balance
General Manager,"Gurgaon/Gurugram, Haryana",,Procurement & Purchase Department,3 Sep 2022,4.0,4.0,4.0,4.0,4.0,4.0,3.0,employee friendly and freedom of putting across ideas,slow pace sometimes,1,employee friendly and freedom of putting across ideas slow pace sometimes
Mechanical Designer Plastics,"Pune, Maharashtra",,STET Department,8 Nov 2022,5.0,5.0,4.0,5.0,4.0,4.0,4.0,good working projects,nothing much,1,good working projects nothing much
Software Technologist 2,Bengaluru/Bangalore,Full Time,Quality Assurance and Testing Department,5 Jun 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,culture was good,work life balance was horrible in one of the projects i worked,0,culture was good work life balance was horrible in one of the projects i worked
Deputy Manager,Chennai,Full Time,Accounting & Taxation Department,0 May 2022,1.0,1.0,5.0,1.0,1.0,1.0,1.0,good in training and other skill development,work life balance mostly on month ends we use to work for 18 hours a day  i cant even took my paternal leave on month end,-1,good in training and other skill development work life balance mostly on month ends we use to work for 18 hours a day  i cant even took my paternal leave on month end
Deputy Manager,Chennai,Full Time,Project Execution Department,3 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,working environments,nothing is there,1,working environments nothing is there
Director,Bengaluru/Bangalore,Full Time,Technology / IT Department,1 Mar 2023,4.0,4.0,3.0,4.0,3.0,4.0,3.0,learning opportunities,slow decision making,1,learning opportunities slow decision making
Technical Project Manager,"Pune, Maharashtra",Full Time,STET Department,8 Sep 2022,5.0,5.0,5.0,5.0,4.0,5.0,4.0,people policies  benifits,work assignments,1,people policies  benifits work assignments
Senior Technician,Pic,Full Time,IT Infrastructure Services Department,0 Apr 2023,4.0,3.0,2.0,3.0,2.0,2.0,2.0,team is good,no new skill learning,1,team is good no new skill learning
Planning Engineer,Chennai,Full Time,,4 Aug 2022,3.0,2.0,4.0,4.0,3.0,4.0,3.0,company benifits and salary which you get or the hike you get while joining the company is good the facilities which they arrange for your work is very good,work life balance is almost zero no other dislikes are there,0,company benifits and salary which you get or the hike you get while joining the company is good the facilities which they arrange for your work is very good work life balance is almost zero no other dislikes are there
Operations Manager,"Chennai, Tamil Nadu",Full Time,,5 Oct 2022,5.0,5.0,4.0,4.0,5.0,5.0,3.0,working culture,nothing so far so good,1,working culture nothing so far so good
Sales Executive,"Guwahati, Assam",Full Time,Enterprise & B2B Sales Department,0 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,team work,delayed after sales service to enduser,1,team work delayed after sales service to enduser
Mechanical Lead Designer,"Pune, Maharashtra",,,0 Dec 2022,4.0,4.0,3.0,4.0,4.0,3.0,3.0,nice,leadership needs more stability,1,nice leadership needs more stability
Software Technologist I,Bengaluru/Bangalore,Full Time,IT & Information Security Department,6 Mar 2023,4.0,4.0,3.0,2.0,4.0,4.0,4.0,culture and other benefits are good,work is not that great,1,culture and other benefits are good work is not that great
Sales Promoter,"New Delhi, Delhi",Full Time,,5 Jan 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,good company,better than,1,good company better than
National Logistics Manager- Health System Devices And Spare Parts,"Gurgaon/Gurugram, Haryana",Full Time,SCM & Logistics Department,5 Sep 2022,5.0,5.0,4.0,5.0,5.0,5.0,4.0,ocean of opportunities,slow decision making and less focus on goals,1,ocean of opportunities slow decision making and less focus on goals
PMS RM Manager,ICC Devi,Full Time,,5 Oct 2022,3.0,1.0,2.0,2.0,4.0,1.0,1.0,in a medical devices industry,no proper vision and always change of projects,0,in a medical devices industry no proper vision and always change of projects
Software Engineer   (working remotely),,Full Time,Software Development Department,5 Mar 2023,5.0,3.0,5.0,4.0,5.0,5.0,5.0,yes i like it whag i di,no i dont like,1,yes i like it whag i di no i dont like
Assistant Manager,Hyderabad/Secunderabad,Full Time,Enterprise & B2B Sales Department,1 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"i really enjoyed my 5 years 4 moths experience in this company and the  dont worry about the job we can do our work it will be secure the job as long as and work culture is excellent and the management and company polices are very good supports with employee in time of covid19 first wave company was given moral  financial supportto the employees
i really proud to work with philips india ltd
thanksread more",compensation is decent,1,"i really enjoyed my 5 years 4 moths experience in this company and the  dont worry about the job we can do our work it will be secure the job as long as and work culture is excellent and the management and company polices are very good supports with employee in time of covid19 first wave company was given moral  financial supportto the employees
i really proud to work with philips india ltd
thanksread more compensation is decent"
Senior Architect,Bengaluru/Bangalore,Full Time,Software Development Department,7 Dec 2021,2.0,1.0,3.0,1.0,1.0,1.0,1.0,there is nothing good about working in philips check dislikes better you decide to join philips the recent attrition rates is too high and recognition is given only to few,"management needs a complete reformance as they have started micro management and this will never work
all the us counterpart has been moved to india which means respect which used to be recieved is no more available to you but only indian politics",-1,"there is nothing good about working in philips check dislikes better you decide to join philips the recent attrition rates is too high and recognition is given only to few management needs a complete reformance as they have started micro management and this will never work
all the us counterpart has been moved to india which means respect which used to be recieved is no more available to you but only indian politics"
PMO-Associate,Pimpri Chinchwad,,Project Management Office Department,0 Jun 2022,4.0,4.0,3.0,4.0,4.0,5.0,4.0,philips culture is the best thing you can experience along with work life balance,"1 growth is slow and opportunities for freshers is as low as none
2 documentation is too much
3 work process is so slow here",1,"philips culture is the best thing you can experience along with work life balance 1 growth is slow and opportunities for freshers is as low as none
2 documentation is too much
3 work process is so slow here"
Lead Process Engineer,Bengaluru/Bangalore,,IT Infrastructure Services Department,7 May 2022,5.0,5.0,4.0,5.0,5.0,5.0,5.0,work life balance most importantly gives opportunities to learn overall god organization employees are given priorities by the leadership  organization policy,my immediate managers are good and their handholding of team is good,1,work life balance most importantly gives opportunities to learn overall god organization employees are given priorities by the leadership  organization policy my immediate managers are good and their handholding of team is good
Area sales manager,Chennai,,Retail & B2C Sales Department,5 Jul 2022,3.0,3.0,2.0,4.0,4.0,3.0,3.0,work life balance market support,,0,work life balance market support 
Sales Manager,"Patna, Bihar",Full Time,BD / Pre Sales Department,1 Oct 2022,5.0,5.0,5.0,5.0,4.0,5.0,3.0,ethical company,no thing as per our knowledge,1,ethical company no thing as per our knowledge
Software Technologist 2,"Bangalore Rural, Karnataka",Full Time,Software Development Department,6 Jul 2022,5.0,5.0,4.0,5.0,5.0,5.0,5.0,absolutely fantastic work place,not found yet,1,absolutely fantastic work place not found yet
Assistant Manager,"Jaipur, Rajasthan",Full Time,Marketing Department,7 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"flexibility 
brand and reputation",no dislikes,1,"flexibility 
brand and reputation no dislikes"
Preventive Maintenane Technician,Vadodra,Full Time,,8 Dec 2022,4.0,3.0,4.0,4.0,5.0,5.0,3.0,its really good,culture,1,its really good culture
Area Sales Manager,Agra,Part Time,Enterprise & B2B Sales Department,8 Apr 2022,4.0,3.0,4.0,5.0,5.0,4.0,4.0,"best place to work with 
average work and personal life 
nice culture",they never accept realitybeing in sales the never work on feedbackwe have to manage everything and everyone by thier laid policies which is not changed with time,1,"best place to work with 
average work and personal life 
nice culture they never accept realitybeing in sales the never work on feedbackwe have to manage everything and everyone by thier laid policies which is not changed with time"
Learning Developer,Bangalore,Full Time,,1 Jul 2022,5.0,5.0,5.0,5.0,4.0,5.0,3.0,"the working culture is great
worklife balance is awesome employees get full respect for their personal life 
rest depends on the boss",no permanent work from in india,1,"the working culture is great
worklife balance is awesome employees get full respect for their personal life 
rest depends on the boss no permanent work from in india"
Designer,Chennai,Full Time,Banking Operations Department,8 Jun 2023,4.0,3.0,3.0,3.0,3.0,4.0,3.0,not applicable,not applicable so,1,not applicable not applicable so
Business Development Executive,"Gwalior, Madhya Pradesh",,,7 Jan 2023,5.0,5.0,5.0,5.0,4.0,5.0,5.0,good atmost fair,no on,1,good atmost fair no on
Key Account Manager,"Mumbai, Maharashtra",,BD / Pre Sales Department,3 Jun 2022,4.0,4.0,4.0,4.0,4.0,4.0,3.0,great culture supportive team reachable management lot of options to grow and explore,complex process driven company,1,great culture supportive team reachable management lot of options to grow and explore complex process driven company
Senior Architect,Pune,,Software Development Department,9 Jun 2022,4.0,5.0,4.0,4.0,4.0,4.0,4.0,work life balance and opportunities to move lateral within business,more focus on gender diversity,1,work life balance and opportunities to move lateral within business more focus on gender diversity
Deputy Manager,Chennai,Full Time,Finance Department,5 Aug 2022,4.0,5.0,4.0,4.0,5.0,3.0,4.0,work life balance and salary,performance bonus and culture,1,work life balance and salary performance bonus and culture
Sales Administration Executive,Chennai,Full Time,Sales Support & Operations Department,4 May 2023,5.0,5.0,1.0,4.0,1.0,4.0,2.0,no pressure  5 days working  company culture  they give more safety on his employee at covid time providing cab pickup and drop,worked in contract after contract over they not recommend any other job,1,no pressure  5 days working  company culture  they give more safety on his employee at covid time providing cab pickup and drop worked in contract after contract over they not recommend any other job
Junior Engineer   (working remotely),,Full Time,,5 Jul 2022,4.0,3.0,4.0,3.0,4.0,5.0,4.0,"better chance to monetize my skills  i took great initiative managing myself pushing harder with each project until it reached success
and brand value of the company pushing me to work here",nothing,1,"better chance to monetize my skills  i took great initiative managing myself pushing harder with each project until it reached success
and brand value of the company pushing me to work here nothing"
Digital Marketing Specialist,"Gurgaon/Gurugram, Haryana",Full Time,Digital Marketing Department,3 Dec 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,very political nothing good,hr makes false promises and hires people managers make even more false commitment and move on not meant for honest and dedicated worker more apt for manipulative bosses and staff you slog for 12 horus plus and get nothing year after year increment too is less than 5 for all,-1,very political nothing good hr makes false promises and hires people managers make even more false commitment and move on not meant for honest and dedicated worker more apt for manipulative bosses and staff you slog for 12 horus plus and get nothing year after year increment too is less than 5 for all
Trainee Engneer,Chakan,Full Time,,7 Sep 2022,5.0,4.0,5.0,5.0,4.0,5.0,3.0,philips behavior,no one dislike point for philips gbs,1,philips behavior no one dislike point for philips gbs
Accounting Specialist,Ramanujan IT City,Full Time,R2R Department,8 Oct 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,unsafe place for women to work,everything is good at philips,-1,unsafe place for women to work everything is good at philips
Quality Engineer Products And System,"Pune, Maharashtra",,Design & Quality Department,9 Nov 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,no dislike as such to explain,good company,1,no dislike as such to explain good company
Production Manager,"Pune, Maharashtra",,,9 Nov 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,some discussions slow growth,overall experience is good multiple jobs expectation more,1,some discussions slow growth overall experience is good multiple jobs expectation more
Service Engineer,Chandigarh,,"Operations, Maintenance & Support Department",1 May 2022,4.0,4.0,4.0,3.0,3.0,4.0,4.0,multiple jobs doing  i am not consentration for my main work  salary growth is slow,good ethics and culture honestly good company to work with in basic salary structure,1,multiple jobs doing  i am not consentration for my main work  salary growth is slow good ethics and culture honestly good company to work with in basic salary structure
Branch Service Head,Mumbai Suburban,,Service Delivery Department,7 Aug 2022,4.0,2.0,5.0,3.0,4.0,5.0,3.0,worklife balace can be of little concern due to many manual work where system is not much developed,,1,worklife balace can be of little concern due to many manual work where system is not much developed 
Technical Lead,Bengaluru/Bangalore,Full Time,Software Development Department,5 Jun 2022,3.0,4.0,3.0,4.0,3.0,4.0,3.0,moderate work life balance very good leave policy,you have to work in different skill set limited scope of learning,0,moderate work life balance very good leave policy you have to work in different skill set limited scope of learning
Assistant Manager,"North Goa, Goa",Full Time,Retail & B2C Sales Department,7 Sep 2022,3.0,4.0,3.0,4.0,4.0,1.0,2.0,good organization to work for salary  perks are good work life balance is perfect,few of the managers are stupid they will leave u in a situation where u have to leave the organisation one such person is promod saxena current branch manager of mumbai  goa,0,good organization to work for salary  perks are good work life balance is perfect few of the managers are stupid they will leave u in a situation where u have to leave the organisation one such person is promod saxena current branch manager of mumbai  goa
Network Security Lead,"Bengaluru/Bangalore, Karnataka",Full Time,IT Security Department,1 Feb 2023,3.0,3.0,4.0,2.0,4.0,1.0,2.0,nothing,too much politics,0,nothing too much politics
Accounting Specialist,Chennai,Full Time,Accounting & Taxation Department,5 Oct 2021,4.0,5.0,4.0,2.0,5.0,4.0,3.0,"work life balance is incredible i dont remember a day after my probation where i had to toil more than the specified 96
work culture is mostly dependent on the team lead there are teams which make your life easier and others you know what i mean","freshers are hired at a salary way below the market standards like 2040 low so that they might struggle when we find other opportunities 
after first 2 years escalating corporate ladder becomes slower and tedious
leaders are considering their pay cheque and their benefits on a priority rather than overall process improvement or better tomorrow",1,"work life balance is incredible i dont remember a day after my probation where i had to toil more than the specified 96
work culture is mostly dependent on the team lead there are teams which make your life easier and others you know what i mean freshers are hired at a salary way below the market standards like 2040 low so that they might struggle when we find other opportunities 
after first 2 years escalating corporate ladder becomes slower and tedious
leaders are considering their pay cheque and their benefits on a priority rather than overall process improvement or better tomorrow"
Marketing Executive,PUNE,Full Time,,0 Oct 2021,3.0,2.0,4.0,1.0,2.0,1.0,3.0,philips india ltd is a brand its good to work with the company but my manager doesnt want me to grow he never shares my achievements to the hierarchy of the company none of the kols know my manager in the field,employee makes people to work hard and motivate each other my local asm never trusted me for any work achievements i am leaving this organization only for the politics played with me asm has already put the pressure to the other candidate who joined in my working period he blamed the employee that theyre putting false work in the field which was wrong hes playing with me the same politics game he never meets the doctor nor the employee just put unnecessary pressure and blame the employee only even after the super achievement that other people will tell you or appreciate but manager never motivatesread more,0,philips india ltd is a brand its good to work with the company but my manager doesnt want me to grow he never shares my achievements to the hierarchy of the company none of the kols know my manager in the field employee makes people to work hard and motivate each other my local asm never trusted me for any work achievements i am leaving this organization only for the politics played with me asm has already put the pressure to the other candidate who joined in my working period he blamed the employee that theyre putting false work in the field which was wrong hes playing with me the same politics game he never meets the doctor nor the employee just put unnecessary pressure and blame the employee only even after the super achievement that other people will tell you or appreciate but manager never motivatesread more
Field Service Engineer,"Jaipur, Rajasthan",Full Time,"Operations, Maintenance & Support Department",3 Sep 2022,3.0,3.0,4.0,3.0,4.0,3.0,3.0,royalty,salary is less but work is high,0,royalty salary is less but work is high
Las,"Kolkata, West Bengal",Full Time,Enterprise & B2B Sales Department,2 Aug 2022,5.0,5.0,5.0,4.0,5.0,5.0,4.0,seniors are gem,salary should be credited on time,1,seniors are gem salary should be credited on time
Senior Manager,Chennai,,Finance Department,8 Jun 2022,5.0,5.0,5.0,3.0,5.0,5.0,5.0,work culture career opportunities,bonus policy  compensation,1,work culture career opportunities bonus policy  compensation
Service Manager & Customer Services Operations Insight Sales Manager,Gurgaon/Gurugram,,After Sales Service & Repair Department,1 Aug 2023,5.0,5.0,2.0,3.0,4.0,3.0,2.0,work life balance,the promotion,1,work life balance the promotion
Software Engineer Ii,Bengaluru/Bangalore,,Software Development Department,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good working environment good health insurance policies unlimited sick leaves,nothing as such,1,good working environment good health insurance policies unlimited sick leaves nothing as such
Project Manager,"Pune, Bangalore",Full Time,Construction / Manufacturing Department,9 May 2022,4.0,3.0,4.0,4.0,4.0,3.0,3.0,working on high technology projects lots of focus on details and problem solving,utilisation of highly skilled people can be much better to suit their capabilities for which they are hiredoverall optimization of  resources people and others can work wonders,1,working on high technology projects lots of focus on details and problem solving utilisation of highly skilled people can be much better to suit their capabilities for which they are hiredoverall optimization of  resources people and others can work wonders
Process Optimization Expert,Chennai,Full Time,Business Intelligence & Analytics Department,2 Apr 2022,5.0,3.0,5.0,4.0,5.0,5.0,4.0,we will be getting multiple learning opportunity only thing is we need to spend time,we will be getting multiple quick delivery in most of the times this will affect work life balance this is purely depends on team to team apart from this very good organization,1,we will be getting multiple learning opportunity only thing is we need to spend time we will be getting multiple quick delivery in most of the times this will affect work life balance this is purely depends on team to team apart from this very good organization
Supplier Quality Engineer,Chakan Phase 2,Full Time,Quality Control Department,2 Oct 2022,3.0,2.0,1.0,5.0,3.0,2.0,3.0,benefits and policies,no work life balance,0,benefits and policies no work life balance
Senior Accountant,Chennai,Full Time,Accounting & Taxation Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,working in philips has given me more flexible in terms of work and helps gather more knowledge related to work and accounting,very less opportunity to movement to next role,1,working in philips has given me more flexible in terms of work and helps gather more knowledge related to work and accounting very less opportunity to movement to next role
Software Engineer Ii,Bangalore,,,3 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,i enjoy working here to be honest,i didnt come across as such issues to report here,1,i enjoy working here to be honest i didnt come across as such issues to report here
Senior Accounting Specialist (Level Ll),Chennai,,Finance Department,7 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,independence no micro management with a learning and growth mindset can grow inside philips quickly,some basic corporate politics,1,independence no micro management with a learning and growth mindset can grow inside philips quickly some basic corporate politics
Software Engineer Ii,"Mumbai, Maharashtra",,Software Development Department,4 Nov 2022,4.0,4.0,4.0,4.0,3.0,4.0,3.0,its nice experience of working with philips,unclear,1,its nice experience of working with philips unclear
As A Product Quality Inspector,Chakan,,,8 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,i must like thing about philips they work as a one team or family,nothing dislike about working at philips,1,i must like thing about philips they work as a one team or family nothing dislike about working at philips
Sales Officer,Bengaluru/Bangalore,,Retail & B2C Sales Department,7 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,work  personal life balance,as a new joinee i didnt tell right now,1,work  personal life balance as a new joinee i didnt tell right now
Product Owner,Bangalore,,Product Management - Technology Department,8 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,the growth,process is not well defined for activities like travel policies etc,1,the growth process is not well defined for activities like travel policies etc
Senior Product Owner Or Product Manager,Bengaluru/Bangalore,Full Time,Health Care Department,0 Jun 2022,4.0,4.0,4.0,4.0,3.0,4.0,3.0,work culture,no motivation and many times organization restructuring impact,1,work culture no motivation and many times organization restructuring impact
Senior Manager Hr,Gurgaon/Gurugram,Full Time,HR Business Advisory Department,0 Mar 2023,3.0,4.0,2.0,2.0,2.0,2.0,2.0,hybrid environment flexibility,"leadership is poor no decision making 
the brand is not strong anymore",0,"hybrid environment flexibility leadership is poor no decision making 
the brand is not strong anymore"
